route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000001,OCESN12221F3520742:2025-01-27T00:44:39Z,12221,1,1,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000002,OCESN12221F3635069:2025-01-04T00:22:11Z,12221,1,2,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000003,OCESN12221F3823697:2025-01-22T00:42:25Z,12221,1,3,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000004,OCESN12221F3827200:2025-01-23T00:40:07Z,12221,1,4,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000005,OCESN12221F3827215:2025-01-21T00:39:14Z,12221,1,5,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000006,OCESN12221F3827551:2025-01-24T00:40:05Z,12221,1,6,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000007,OCESN12221F3827983:2025-01-23T00:40:07Z,12221,1,7,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000008,OCESN12221F3830591:2025-01-23T00:40:07Z,12221,1,8,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000009,OCESN12221F3844139:2025-01-22T00:42:25Z,12221,1,9,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000010,OCESN12221F3844140:2025-01-22T00:42:25Z,12221,1,10,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000011,OCESN12250F3497111:2025-01-27T00:44:39Z,12250,0,11,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000012,OCESN12250F3506671:2024-11-29T10:03:28Z,12250,0,12,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000013,OCESN12250F3827191:2025-01-21T00:39:14Z,12250,0,13,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000014,OCESN12250F3827192:2025-01-21T00:39:14Z,12250,0,14,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000015,OCESN12250F3827193:2025-01-21T00:39:14Z,12250,0,15,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000008,OCESN12250F3827195:2025-01-21T00:39:14Z,12250,0,16,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000016,OCESN12250F3830446:2025-01-27T00:44:39Z,12250,0,17,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000005,OCESN12250F3830447:2025-01-27T00:44:39Z,12250,0,18,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000017,OCESN12250F3830448:2025-01-27T00:44:39Z,12250,0,19,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000018,OCESN12250F3848720:2025-01-27T00:44:39Z,12250,0,20,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000019,OCESN12251F3516694:2025-01-24T00:40:05Z,12251,1,21,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000020,OCESN12251F3827053:2025-01-24T00:40:05Z,12251,1,22,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000021,OCESN12251F3827054:2025-01-24T00:40:05Z,12251,1,23,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000022,OCESN12251F3827055:2025-01-24T00:40:05Z,12251,1,24,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000023,OCESN12251F3827512:2025-01-28T00:48:51Z,12251,1,25,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000024,OCESN12251F3827513:2025-01-28T00:48:51Z,12251,1,26,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000025,OCESN12251F3827514:2025-01-28T00:48:51Z,12251,1,27,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000026,OCESN12251F3832931:2025-01-28T00:48:51Z,12251,1,28,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000027,OCESN12251F3837511:2025-01-28T00:48:51Z,12251,1,29,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000028,OCESN12252F3506665:2025-01-24T00:40:05Z,12252,1,30,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000029,OCESN12252F3512853:2025-01-28T00:48:51Z,12252,1,31,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000030,OCESN12252F3512854:2024-11-29T10:03:28Z,12252,1,32,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000031,OCESN12252F3825589:2025-01-21T00:39:14Z,12252,1,33,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000032,OCESN12252F3825590:2025-01-21T00:39:14Z,12252,1,34,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000033,OCESN12252F3827532:2025-01-21T00:39:14Z,12252,1,35,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000034,OCESN12252F3827534:2025-01-21T00:39:14Z,12252,1,36,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000035,OCESN12252F3832973:2025-01-24T00:40:05Z,12252,1,37,
OCESN-87391003-87581009,000036,OCESN12253F3522584:2024-11-29T10:03:28Z,12253,0,38,
OCESN-87391003-87581009,000037,OCESN12253F3665370:2025-01-28T00:48:51Z,12253,0,39,
OCESN-87391003-87581009,000038,OCESN12253F3824469:2025-01-28T00:48:51Z,12253,0,40,
OCESN-87391003-87581009,000039,OCESN12253F3825594:2025-01-28T00:48:51Z,12253,0,41,
OCESN-87391003-87581009,000040,OCESN12253F3827542:2025-01-24T00:40:05Z,12253,0,42,
OCESN-87391003-87581009,000041,OCESN12253F3827543:2025-01-24T00:40:05Z,12253,0,43,
OCESN-87391003-87581009,000042,OCESN12253F3827544:2025-01-21T00:39:14Z,12253,0,44,
OCESN-87391003-87581009,000043,OCESN12253F3834652:2025-01-24T00:40:05Z,12253,0,45,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000044,OCESN12254F3532180:2024-12-05T00:26:54Z,12254,0,46,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000045,OCESN12254F3601754:2025-01-28T00:48:51Z,12254,0,47,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000046,OCESN12254F3684887:2024-11-29T10:03:28Z,12254,0,48,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000022,OCESN12254F3824465:2025-01-21T00:39:14Z,12254,0,49,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000047,OCESN12254F3824466:2025-01-21T00:39:14Z,12254,0,50,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000048,OCESN12254F3824467:2025-01-21T00:39:14Z,12254,0,51,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000049,OCESN12254F3824468:2025-01-21T00:39:14Z,12254,0,52,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000008,OCESN12254F3824470:2025-01-28T00:48:51Z,12254,0,53,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000043,OCESN12254F3840060:2025-01-28T00:48:51Z,12254,0,54,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000050,OCESN12254F3840061:2025-01-24T00:40:05Z,12254,0,55,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000017,OCESN12254F3840062:2025-01-24T00:40:05Z,12254,0,56,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000005,OCESN12254F3840063:2025-01-24T00:40:05Z,12254,0,57,
